id,country_id,gdp,taxes
1,4,"77,040,000,000",11.2
2,8,"37,730,000,000",27.6
3,12,"468,400,000,000",32.3
4,24,"203,710,000,000",29.3
5,32,"893,310,000,000",18.9
6,51,"37,310,000,000",22.9
7,36,"1,250,900,000,000",35.5
8,40,"463,120,000,000",48.3
9,31,"138,510,000,000",23.5
10,48,"69,650,000,000",16.6
11,50,"793,490,000,000",9.6
12,112,"179,970,000,000",40.7
13,56,"557,110,000,000",51.3
14,84,"2,430,000,000",29.9
15,204,"40,290,000,000",17.1
16,64,"8,420,000,000",27.2
17,68,"92,590,000,000",39.9
18,70,"47,050,000,000",44
19,72,"37,720,000,000",30.5
20,76,"2,989,430,000,000",35.7
21,100,"155,060,000,000",35.7
22,854,"45,160,000,000",21.2
23,108,"8,690,000,000",15.8
24,116,"70,080,000,000",17.9
25,120,"94,940,000,000",15.3
26,124,"1,742,790,000,000",39.3
27,140,"4,483,000,000",14.6
28,148,"24,970,000,000",13.5
29,152,"445,880,000,000",20.8
30,156,"23,009,780,000,000",21.3
31,170,"683,940,000,000",26.5
32,174,"2,730,000,000",25.3
33,178,"96,030,000,000",22.5
34,180,#N/A,11.2
35,188,"100,250,000,000",14.3
36,191,"107,110,000,000",46.1
37,196,"33,670,000,000",39.9
38,203,"409,970,000,000",40.5
39,208,"326,200,000,000",53
40,214,"184,450,000,000",14.9
41,218,"182,240,000,000",32
42,818,"1,223,040,000,000",17.9
43,222,"52,260,000,000",23.7
44,233,"47,440,000,000",39.9
45,231,"264,050,000,000",13.9
46,246,"261,390,000,000",53.1
47,250,"2,832,170,000,000",53.8
48,266,"32,050,000,000",17.6
49,270,"5,220,000,000",20.3
50,268,"52,330,000,000",28.7
51,276,"4,238,800,000,000",45
52,288,"164,840,000,000",20.3
53,300,"292,400,000,000",48.8
54,320,"141,500,000,000",10.8
55,324,"35,080,000,000",16.6
56,332,"31,620,000,000",18.2
57,340,"50,890,000,000",20.3
58,344,"420,130,000,000",23.2
59,348,"302,320,000,000",44.5
60,352,"19,160,000,000",42.4
61,356,"8,443,360,000,000",9.2
62,360,"3,130,470,000,000",13
63,364,"1,044,310,000,000",17.3
64,368,"372,270,000,000",35.7
65,372,"447,970,000,000",26
66,376,"353,390,000,000",26.5
67,380,"2,322,140,000,000",46.6
68,384,"136,480,000,000",19.1
69,388,"25,890,000,000",29.7
70,392,"5,224,850,000,000",35.2
71,400,"100,160,000,000",23.6
72,398,"475,180,000,000",22.3
73,404,"226,940,000,000",17.6
74,383,"19,130,000,000",29
75,414,"209,740,000,000",41.8
76,417,"31,020,000,000",28.7
77,428,"56,920,000,000",37.5
78,422,"79,510,000,000",21.5
79,426,"4,880,000,000",39.7
80,430,"6,850,000,000",16.9
81,434,"70,650,000,000",51.6
82,440,"102,660,000,000",33.7
83,442,"69,720,000,000",44.4
84,807,"33,020,000,000",#N/A
85,450,"41,820,000,000",15.9
86,454,"28,440,000,000",21.7
87,458,"855,600,000,000",16.4
88,466,"44,890,000,000",20
89,470,"20,600,000,000",40.4
90,478,"23,170,000,000",27.4
91,480,"24,640,000,000",22.5
92,484,"2,306,320,000,000",22.7
93,498,"32,260,000,000",30.2
94,496,"37,600,000,000",26.6
95,499,"11,360,000,000",37.2
96,504,"259,420,000,000",20.9
97,508,"38,420,000,000",26.7
98,104,#N/A,#N/A
99,516,"22,600,000,000",32.2
100,524,"110,720,000,000",23.8
101,528,"945,480,000,000",43.4
102,554,"215,600,000,000",36.8
103,558,"34,980,000,000",28
104,562,"28,970,000,000",21.4
105,566,"1,013,530,000,000",3.4
106,578,"342,060,000,000",54.4
107,586,"1,021,130,000,000",15.4
108,275,#N/A,#N/A
109,591,"109,520,000,000",20.1
110,600,"87,980,000,000",14.2
111,604,"371,290,000,000",27.1
112,608,"871,560,000,000",15.6
113,616,"1,223,460,000,000",39.5
114,620,"331,640,000,000",42.9
115,634,"245,660,000,000",26.4
116,642,"556,070,000,000",29.3
117,643,"3,875,690,000,000",16.4
118,646,"27,180,000,000",21.3
119,682,"1,543,240,000,000",26.4
120,686,"55,260,000,000",19.6
121,688,"125,800,000,000",42.7
122,694,"13,150,000,000",15.6
123,702,"531,040,000,000",15.7
124,703,"165,570,000,000",39.4
125,705,"76,750,000,000",43.1
126,706,"13,190,000,000",2.1
127,710,"680,040,000,000",26.6
128,410,"2,187,800,000,000",23.2
129,728,"20,010,000,000",8.5
130,724,"1,714,860,000,000",37.9
131,144,"274,800,000,000",13.8
132,729,"176,400,000,000",18.5
133,748,#N/A,#N/A
134,752,"524,750,000,000",50.6
135,756,"590,710,000,000",35.7
136,760,"50,280,000,000",4.2
137,158,"1,143,277,000,000",16
138,762,"34,880,000,000",31.8
139,834,"152,790,000,000",15.2
140,764,"1,206,620,000,000",15.2
141,768,"17,450,000,000",21.5
142,11,"33,210,000,000",24.5
143,788,"114,970,000,000",24.7
144,792,"2,393,960,000,000",20.3
145,795,"92,330,000,000",14.9
146,800,"99,610,000,000",14.5
147,804,"516,680,000,000",26.6
148,784,"655,790,000,000",28.8
149,826,"2,797,980,000,000",39.1
150,840,"19,846,720,000,000",17
151,858,"75,060,000,000",29.8
152,860,"239,420,000,000",31.2
153,862,"269,068,000,000",44.2
154,704,"798,210,000,000",24.8
155,887,"73,630,000,000",9
156,894,"60,120,000,000",17.4
157,716,"40,790,000,000",21.5
