id,country_id,2017,2018,2019,2020
1,4,3.79399991,3.632,3.203,2.566900015
2,8,4.644000053,4.586,4.719,4.882699966
3,11,6.168000221,6.192,6.192,6.191899776
4,12,5.872000217,5.295,5.211,5.005099773
5,31,5.234000206,5.201,5.208,5.164800167
6,32,6.598999977,6.388,6.086,5.974699974
7,36,7.28399992,7.272,7.228,7.222799778
8,40,7.006000042,7.139,7.246,7.294199944
9,48,6.086999893,6.105,6.199,6.227300167
10,50,4.607999802,4.5,4.456,4.832799911
11,51,4.375999928,4.321,4.559,4.676799774
12,56,6.890999794,6.927,6.923,6.863500118
13,64,5.011000156,5.082,5.082,#N/A
14,68,5.822999954,5.752,5.779,5.747499943
15,70,5.18200016,5.129,5.386,5.674099922
16,72,3.766000032,3.59,3.488,3.478899956
17,76,6.635000229,6.419,6.3,6.375599861
18,100,4.714000225,4.933,5.011,5.101500034
19,104,4.545000076,4.308,4.36,4.308000088
20,108,2.904999971,2.905,3.775,3.775300026
21,112,5.568999767,5.483,5.323,5.539899826
22,116,4.168000221,4.433,4.7,4.848400116
23,120,4.695000172,4.975,5.044,5.084899902
24,124,7.315999985,7.328,7.278,7.23210001
25,140,2.693000078,3.083,3.083,3.475899935
26,144,4.440000057,4.471,4.366,4.327000141
27,148,3.936000109,4.301,4.35,4.422699928
28,152,6.65199995,6.476,6.444,6.228499889
29,156,5.272999763,5.246,5.191,5.123899937
30,158,6.421999931,6.441,6.446,6.45539999
31,170,6.356999874,6.26,6.125,6.163400173
32,174,#N/A,#N/A,3.973,4.288599968
33,178,4.290999889,4.559,4.812,5.194399834
34,180,4.28000021,4.245,4.418,4.31099987
35,188,7.078999996,7.072,7.167,7.121399879
36,191,5.293000221,5.321,5.432,5.504700184
37,196,5.620999813,5.762,6.046,6.15899992
38,203,6.609000206,6.711,6.852,6.910900116
39,204,3.657000065,4.141,4.883,5.21600008
40,208,7.521999836,7.555,7.6,7.645599842
41,214,5.230000019,5.302,5.425,5.689199924
42,218,6.007999897,5.973,6.028,5.925199986
43,222,6.002999783,6.167,6.253,6.34829998
44,231,4.460000038,4.35,4.286,4.186200142
45,233,5.611000061,5.739,5.893,6.021800041
46,246,7.468999863,7.632,7.769,7.808700085
47,250,6.441999912,6.489,6.592,6.663799763
48,266,4.465000153,4.758,4.799,4.829299927
49,268,4.285999775,4.34,4.519,4.672599792
50,270,#N/A,#N/A,4.516,4.750599861
51,275,4.775000095,4.743,4.696,4.552800179
52,276,6.951000214,6.965,6.985,7.075799942
53,288,4.119999886,4.657,4.996,5.147999763
54,300,5.227000237,5.358,5.287,5.514999866
55,320,6.453999996,6.382,6.436,6.398900032
56,324,3.506999969,3.964,4.534,4.949299812
57,332,3.602999926,3.582,3.597,3.720799923
58,340,5.181000233,5.504,5.86,5.953199863
59,344,5.472000122,5.43,5.43,5.510399818
60,348,5.323999882,5.62,5.758,6.000400066
61,352,7.504000187,7.495,7.494,7.504499912
62,356,4.315000057,4.19,4.015,3.573299885
63,360,5.262000084,5.093,5.192,5.285600185
64,364,4.691999912,4.707,4.548,4.672399998
65,368,4.497000217,4.456,4.437,4.784800053
66,372,6.977000237,6.977,7.021,7.093699932
67,376,7.212999821,6.814,7.139,7.128600121
68,380,5.964000225,6,6.223,6.38740015
69,383,5.278999805,5.662,6.1,6.325200081
70,384,4.179999828,4.671,4.944,5.233300209
