id,country_id,n_ironhack_campuses
1,4,0
2,8,0
3,11,0
4,12,0
5,31,0
6,32,0
7,36,0
8,40,0
9,48,0
10,50,0
11,51,0
12,56,0
13,64,0
14,68,0
15,70,0
16,72,0
17,76,1
18,100,0
19,104,0
20,108,0
21,112,0
22,116,0
23,120,0
24,124,0
25,140,0
26,144,0
27,148,0
28,152,0
29,156,0
30,158,0
31,170,0
32,174,0
33,178,0
34,180,0
35,188,0
36,191,0
37,196,0
38,203,0
39,204,0
40,208,0
41,214,0
42,218,0
43,222,0
44,231,#N/A
45,233,0
46,246,0
47,250,1
48,266,0
49,268,0
50,270,0
51,275,0
52,276,1
53,288,0
54,300,0
55,320,0
56,324,0
57,332,0
58,340,0
59,344,0
60,348,0
61,352,0
62,356,0
63,360,0
64,364,0
65,368,0
66,372,0
67,376,0
68,380,0
69,383,0
70,384,0
71,388,0
72,392,0
73,398,0
74,400,0
75,404,0
76,410,0
77,414,0
78,417,0
79,422,0
80,426,0
81,428,0
82,430,0
83,434,0
84,440,0
85,442,0
86,450,0
87,454,0
88,458,0
89,466,0
90,470,0
91,478,0
92,480,0
93,484,1
94,496,0
95,498,0
96,499,0
97,504,0
98,508,0
99,516,0
100,524,0
101,528,1
102,554,0
103,558,0
104,562,0
105,566,0
106,578,0
107,586,0
108,591,0
109,600,0
110,604,0
111,608,0
112,616,0
113,620,1
114,634,0
115,642,0
116,643,0
117,646,0
118,682,0
119,686,0
120,688,0
121,694,0
122,702,0
123,703,0
124,704,0
125,705,0
126,706,#N/A
127,710,0
128,716,0
129,724,2
130,728,0
131,748,0
132,752,0
133,756,0
134,760,0
135,762,0
136,764,0
137,768,0
138,784,0
139,788,0
140,792,0
141,795,0
142,800,0
143,804,0
144,818,0
145,826,0
146,834,0
147,840,1
148,854,0
149,858,0
150,860,0
151,862,0
152,887,0
153,894,0
,,
,,
,,
,,
,,
