id,country_id,age,birth,life_exp,obesity,school_years,divorce
1,4,19.5,36.08,53.25,5.5,3.8,#N/A
2,8,34.3,12.86,79.23,21.7,10,#N/A
3,11,37.8,11.12,74.92,18.6,10.9,#N/A
4,12,28.9,19.24,77.79,27.4,8,#N/A
5,31,32.6,14.03,73.88,19.9,10.7,1.3
6,32,32.4,15.8,78.07,28.3,9.9,#N/A
7,36,37.5,12.35,82.89,29,12.9,#N/A
8,40,44.5,9.48,82.07,20.1,12.1,#N/A
9,48,32.9,12.5,79.67,29.8,9.4,#N/A
10,50,27.9,17.88,74.43,3.6,5.8,#N/A
11,51,36.6,11.45,75.86,20.2,11.7,1.2
12,56,41.6,11.03,81.65,22.1,11.8,2
13,64,29.1,16.17,71.5,6.4,3.1,#N/A
14,68,25.3,20.36,70.7,20.2,8.9,#N/A
15,70,43.3,8.5,77.74,17.9,9.7,#N/A
16,72,25.7,20.6,65.24,18.9,9.3,#N/A
17,76,33.2,13.44,74.98,22.1,7.8,#N/A
18,100,43.7,8.15,75.3,25,11.8,1.5
19,104,#N/A,#N/A,#N/A,#N/A,4.9,#N/A
20,108,17.7,35.48,67.07,5.4,3,#N/A
21,112,40.9,9.32,74.01,24.5,12.3,3.4
22,116,26.4,20.84,66.27,3.9,4.8,#N/A
23,120,18.5,35.91,62.79,11.4,6.3,#N/A
24,124,41.8,10.21,83.62,29.4,13.3,#N/A
25,140,20,33.2,55.07,7.5,4.3,#N/A
26,144,33.7,14.01,77.75,5.2,10.9,#N/A
27,148,16.1,41.05,58.73,6.1,2.3,#N/A
28,152,35.5,12.92,79.57,28,10.3,#N/A
29,156,38.4,11.3,76.31,6.2,7.8,#N/A
30,158,42.3,7.43,80.95,#N/A,#N/A,#N/A
31,170,31.2,16.51,76.91,22.3,8.3,#N/A
32,174,20.9,22.98,66.9,7.8,4.8,#N/A
33,178,19.5,40.53,61.43,6.7,6.8,#N/A
34,180,16.7,32.15,61.69,9.6,#N/A,#N/A
35,188,32.6,14.53,79.41,25.7,8.8,2.6
36,191,43.9,8.68,76.97,24.4,11.3,#N/A
37,196,37.9,10.76,79.51,21.8,12.1,2.3
38,203,43.3,8.75,79.5,26,12.7,2.4
39,204,17,41.55,61.82,9.6,3.6,#N/A
40,208,42,11.17,81.45,19.7,12.6,2.6
41,214,27.9,18.24,72.28,27.6,7.8,2.2
42,218,28.8,16.71,77.76,19.9,8.7,#N/A
43,222,27.7,18.22,75.11,24.6,6.9,#N/A
44,231,19.8,31.03,67.9,4.5,2.7,#N/A
45,233,43.7,9.03,77.63,21.2,12.7,2.5
46,246,42.8,10.49,81.55,22.2,12.4,2.5
47,250,41.7,11.77,82.39,21.6,11.5,#N/A
48,266,21,26.14,69.37,15,8.2,#N/A
49,268,38.6,11.26,77.25,21.7,12.8,2.7
50,270,21.8,26.42,66.15,10.3,3.5,#N/A
51,275,#N/A,#N/A,#N/A,#N/A,9.1,#N/A
52,276,47.8,8.63,81.3,22.3,14.1,#N/A
53,288,21.4,29.08,69.01,10.9,7.1,#N/A
54,300,45.3,7.72,81.28,24.9,10.8,1
55,320,23.2,22.79,72.63,21.2,6.5,0.4
56,324,19.1,35.86,63.53,7.7,2.6,#N/A
57,332,24.1,21.4,65.61,22.7,5.3,#N/A
58,340,24.4,18.19,74.9,21.4,6.5,#N/A
59,344,45.6,8.23,83.41,#N/A,12,#N/A
60,348,43.6,8.72,76.95,26.4,11.9,#N/A
61,352,37.1,13.12,83.45,21.9,12.4,#N/A
62,356,28.7,17.53,70.03,3.9,6.4,#N/A
63,360,31.1,15.59,72.82,6.9,8,#N/A
64,364,31.7,15.78,75.06,25.8,9.8,2.3
65,368,21.2,25.21,72.9,30.4,6.8,#N/A
66,372,37.8,12.6,81.45,25.3,12.5,0.6
