id,country_id,chistians,muslims,unaffiliated,hindus,buddhists,folkReligions,other,jews
1,4,30000,31330000,5000,10000,5000,5000,20000,5000
2,8,580000,2570000,50000,5000,5000,5000,5000,5000
3,12,60000,34730000,660000,5000,5000,10000,5000,5000
4,24,17270000,40000,980000,5000,5000,790000,5000,5000
5,32,34420000,400000,4920000,5000,20000,330000,120000,200000
6,51,3050000,5000,40000,5000,5000,5000,5000,5000
7,36,14980000,540000,5390000,310000,600000,150000,180000,110000
8,40,6750000,450000,1130000,5000,20000,5000,10000,10000
9,31,280000,8900000,5000,5000,5000,5000,5000,5000
10,48,180000,890000,20000,120000,30000,5000,5000,5000
11,50,450000,134430000,5000,12680000,920000,100000,100000,5000
12,112,6830000,20000,2740000,5000,5000,5000,5000,5000
13,56,6880000,630000,3110000,5000,30000,20000,10000,30000
14,84,270000,5000,30000,5000,5000,5000,5000,5000
15,204,4690000,2110000,450000,5000,5000,1600000,5000,5000
16,64,5000,5000,5000,160000,540000,10000,5000,5000
17,68,9330000,5000,400000,5000,5000,90000,100000,5000
18,70,1970000,1700000,90000,5000,5000,5000,5000,5000
19,72,1450000,5000,410000,5000,5000,120000,10000,5000
20,76,173300000,40000,15410000,5000,250000,5540000,300000,110000
21,100,6150000,1020000,310000,5000,5000,5000,5000,5000
22,854,3710000,10150000,70000,5000,5000,2530000,5000,5000
23,108,7670000,230000,5000,5000,5000,480000,5000,5000
24,116,50000,280000,30000,5000,13690000,80000,5000,5000
25,120,13780000,3590000,1050000,5000,5000,650000,530000,5000
26,124,23470000,710000,8050000,470000,280000,390000,300000,350000
27,140,3940000,370000,40000,5000,5000,40000,5000,5000
28,148,4560000,6210000,280000,5000,5000,160000,20000,5000
29,152,15300000,5000,1470000,5000,10000,260000,30000,20000
30,156,68410000,24690000,700680000,20000,244110000,294300000,9080000,5000
31,170,42810000,10000,3050000,5000,5000,370000,40000,5000
32,174,5000,720000,5000,5000,5000,5000,5000,5000
33,188,4230000,5000,370000,5000,5000,40000,10000,5000
34,191,4110000,60000,230000,5000,5000,5000,5000,5000
35,196,810000,280000,10000,5000,5000,5000,5000,5000
36,203,2450000,5000,8020000,5000,5000,5000,5000,5000
37,208,4630000,230000,650000,20000,10000,5000,5000,5000
38,214,8740000,5000,1080000,5000,5000,90000,10000,5000
39,178,63210000,970000,1170000,30000,5000,490000,100000,5000
40,218,13610000,5000,800000,5000,5000,40000,5000,5000
41,818,4120000,76990000,5000,5000,5000,5000,5000,5000
42,222,5460000,5000,680000,5000,5000,30000,20000,5000
43,233,540000,5000,800000,5000,5000,5000,5000,5000
44,231,52070000,28680000,50000,5000,5000,2130000,5000,5000
45,246,4300000,40000,1020000,5000,5000,5000,5000,5000
46,250,39560000,4710000,17580000,30000,280000,220000,100000,310000
47,266,1150000,170000,80000,5000,5000,90000,5000,5000
48,270,80000,1640000,5000,5000,5000,5000,5000,5000
49,268,3850000,470000,30000,5000,5000,5000,5000,5000
50,276,56540000,4760000,20350000,80000,210000,40000,100000,230000
51,288,18260000,3860000,1020000,5000,5000,1200000,40000,5000
52,300,10010000,610000,700000,20000,5000,10000,5000,5000
53,320,13690000,5000,590000,5000,5000,80000,10000,5000
54,324,1090000,8430000,180000,5000,5000,270000,5000,5000
55,332,8690000,5000,1060000,5000,5000,220000,30000,5000
56,340,6660000,10000,790000,5000,5000,80000,40000,5000
57,344,1010000,130000,3950000,30000,930000,900000,110000,5000
58,348,8090000,5000,1860000,5000,5000,5000,5000,10000
59,352,300000,5000,10000,5000,5000,5000,5000,5000
60,356,31130000,176200000,870000,973750000,9250000,5850000,27560000,10000
61,360,23660000,209120000,240000,4050000,1720000,750000,340000,5000
62,364,110000,73570000,110000,20000,5000,5000,150000,5000
63,368,270000,31340000,40000,5000,5000,5000,20000,5000
64,372,4110000,50000,280000,10000,5000,5000,5000,5000
65,376,150000,1380000,230000,5000,20000,20000,5000,5610000
66,380,50440000,2220000,7500000,90000,110000,80000,60000,50000
67,384,8710000,7390000,1570000,5000,5000,2020000,30000,5000
68,388,2120000,5000,470000,5000,5000,120000,30000,5000
69,392,2030000,200000,72120000,30000,45820000,450000,5890000,5000
70,400,130000,6010000,5000,5000,20000,5000,5000,5000
71,398,3970000,11290000,670000,5000,40000,50000,20000,5000
72,404,34340000,3920000,1000000,60000,5000,690000,500000,5000
73,414,390000,2030000,5000,230000,80000,5000,5000,5000
74,417,610000,4690000,20000,5000,5000,5000,5000,5000
75,428,1260000,5000,990000,5000,5000,5000,5000,5000
76,422,1620000,2590000,10000,5000,5000,5000,5000,5000
77,426,2100000,5000,70000,5000,5000,5000,5000,5000
78,430,3430000,480000,60000,5000,5000,20000,5000,5000
79,434,170000,6140000,10000,5000,20000,5000,5000,5000
80,440,2980000,5000,330000,5000,5000,5000,5000,5000
81,442,360000,10000,140000,5000,5000,5000,5000,5000
82,450,17680000,620000,1440000,10000,5000,940000,20000,5000
