name,,slug,value,date_of_information,ranking,region
Niger,562,niger,47.28,2021 est.,1,Africa
Angola,24,angola,42.22,2021 est.,2,Africa
Mali,466,mali,41.6,2021 est.,3,Africa
Uganda,800,uganda,41.6,2021 est.,4,Africa
Benin,204,benin,41.55,2021 est.,5,Africa
Chad,148,chad,41.05,2021 est.,6,Africa
"Congo, Democratic Republic of the",178,congo-democratic-republic-of-the,40.53,2021 est.,7,Africa
South Sudan,728,south-sudan,38.26,2021 est.,8,Africa
Somalia,706,somalia,38.25,2021 est.,9,Africa
Mozambique,508,mozambique,38.03,2021 est.,10,Africa
Liberia,430,liberia,36.96,2021 est.,11,Africa
Guinea-Bissau,#N/A,guinea-bissau,36.64,2021 est.,12,Africa
Afghanistan,4,afghanistan,36.08,2021 est.,13,South Asia
Cameroon,120,cameroon,35.91,2021 est.,14,Africa
Guinea,324,guinea,35.86,2021 est.,15,Africa
Burundi,108,burundi,35.48,2021 est.,16,Africa
Zambia,894,zambia,35.23,2021 est.,17,Africa
Sierra Leone,694,sierra-leone,35.04,2021 est.,18,Africa
Nigeria,566,nigeria,34.38,2021 est.,19,Africa
Burkina Faso,854,burkina-faso,34.34,2021 est.,20,Africa
Tanzania,834,tanzania,33.71,2021 est.,21,Africa
Sudan,729,sudan,33.63,2021 est.,22,Africa
Zimbabwe,716,zimbabwe,33.34,2021 est.,23,Africa
Central African Republic,140,central-african-republic,33.2,2021 est.,24,Africa
Togo,768,togo,32.34,2021 est.,25,Africa
"Congo, Republic of the",180,congo-republic-of-the,32.15,2021 est.,26,Africa
Timor-Leste,#N/A,timor-leste,31.45,2021 est.,27,East Asia/Southeast Asia
Senegal,686,senegal,31.31,2021 est.,28,Africa
Ethiopia,231,ethiopia,31.03,2021 est.,29,Africa
Equatorial Guinea,#N/A,equatorial-guinea,30.09,2021 est.,30,Africa
Madagascar,450,madagascar,29.22,2021 est.,31,Africa
Ghana,288,ghana,29.08,2021 est.,32,Africa
Sao Tome and Principe,#N/A,sao-tome-and-principe,28.94,2021 est.,33,Africa
Cote d'Ivoire,384,cote-divoire,28.67,2021 est.,34,Africa
Malawi,454,malawi,28.59,2021 est.,35,Africa
Mauritania,478,mauritania,28.49,2021 est.,36,Africa
Gaza Strip,#N/A,gaza-strip,28.1,2021 est.,37,Middle East
Eritrea,#N/A,eritrea,27.41,2021 est.,38,Africa
Rwanda,646,rwanda,27.18,2021 est.,39,Africa
Pakistan,586,pakistan,26.95,2021 est.,40,South Asia
Kenya,404,kenya,26.78,2021 est.,41,Africa
Egypt,818,egypt,26.44,2021 est.,42,Africa
"Gambia, The",270,gambia-the,26.42,2021 est.,43,Africa
Gabon,266,gabon,26.14,2021 est.,44,Africa
Namibia,516,namibia,25.33,2021 est.,45,Africa
Iraq,368,iraq,25.21,2021 est.,46,Middle East
Yemen,887,yemen,25.21,2021 est.,47,Middle East
West Bank,#N/A,west-bank,24.8,2021 est.,48,Middle East
Eswatini,#N/A,eswatini,23.87,2021 est.,49,Africa
Lesotho,426,lesotho,23.3,2021 est.,50,Africa
Syria,760,syria,23.25,2021 est.,51,Middle East
Solomon Islands,#N/A,solomon-islands,23.07,2021 est.,52,Australia - Oceania
Comoros,174,comoros,22.98,2021 est.,53,Africa
Tuvalu,#N/A,tuvalu,22.97,2021 est.,54,Australia - Oceania
Guatemala,320,guatemala,22.79,2021 est.,55,Central America
Jordan,400,jordan,22.79,2021 est.,56,Middle East
Laos,#N/A,laos,22.74,2021 est.,57,East Asia/Southeast Asia
Philippines,608,philippines,22.66,2021 est.,58,East Asia/Southeast Asia
Oman,#N/A,oman,22.58,2021 est.,59,Middle East
Djibouti,#N/A,djibouti,22.43,2021 est.,60,Africa
Marshall Islands,#N/A,marshall-islands,22.42,2021 est.,61,Australia - Oceania
Libya,434,libya,22.23,2021 est.,62,Africa
