name,slug,value,date_of_information,ranking,region
"Lithuania","lithuania","15.05","2021 est.","1","Europe"
"Latvia","latvia","14.63","2021 est.","2","Europe"
"Bulgaria","bulgaria","14.52","2021 est.","3","Europe"
"Ukraine","ukraine","13.90","2021 est.","4","Europe"
"Serbia","serbia","13.49","2021 est.","5","Europe"
"Russia","russia","13.40","2021 est.","6","Central Asia"
"Estonia","estonia","13.06","2021 est.","7","Europe"
"Belarus","belarus","12.96","2021 est.","8","Europe"
"Hungary","hungary","12.88","2021 est.","9","Europe"
"Croatia","croatia","12.78","2021 est.","10","Europe"
"Afghanistan","afghanistan","12.57","2021 est.","11","South Asia"
"Moldova","moldova","12.46","2021 est.","12","Europe"
"Germany","germany","12.22","2021 est.","13","Europe"
"Greece","greece","12.05","2021 est.","14","Europe"
"Central African Republic","central-african-republic","12.01","2021 est.","15","Africa"
"Romania","romania","11.99","2021 est.","16","Europe"
"Somalia","somalia","11.82","2021 est.","17","Africa"
"Japan","japan","11.44","2021 est.","18","East Asia/Southeast Asia"
"Lesotho","lesotho","11.41","2021 est.","19","Africa"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","11.09","2021 est.","20","North America"
"Portugal","portugal","10.90","2021 est.","21","Europe"
"Georgia","georgia","10.84","2021 est.","22","Middle East"
"Czechia","czechia","10.72","2021 est.","23","Europe"
"Italy","italy","10.70","2021 est.","24","Europe"
"Poland","poland","10.68","2021 est.","25","Europe"
"Mozambique","mozambique","10.59","2021 est.","26","Africa"
"Monaco","monaco","10.47","2021 est.","27","Europe"
"Montenegro","montenegro","10.37","2021 est.","28","Europe"
"Slovenia","slovenia","10.34","2021 est.","29","Europe"
"Finland","finland","10.33","2021 est.","30","Europe"
"Bosnia and Herzegovina","bosnia-and-herzegovina","10.25","2021 est.","31","Europe"
"Isle of Man","isle-of-man","10.19","2021 est.","32","Europe"
"Niger","niger","10.09","2021 est.","33","Africa"
"Slovakia","slovakia","10.08","2021 est.","34","Europe"
"Eswatini","eswatini","9.90","2021 est.","35","Africa"
"Austria","austria","9.85","2021 est.","36","Europe"
"South Sudan","south-sudan","9.84","2021 est.","37","Africa"
"Spain","spain","9.78","2021 est.","38","Europe"
"Belgium","belgium","9.71","2021 est.","39","Europe"
"Chad","chad","9.70","2021 est.","40","Africa"
"Sierra Leone","sierra-leone","9.70","2021 est.","41","Africa"
