name,,slug,value,date_of_information,ranking,region
China,156,china,"$23,009,780,000,000",2020 est.,1,East Asia/Southeast Asia
United States,840,united-states,"$19,846,720,000,000",2020 est.,2,North America
India,356,india,"$8,443,360,000,000",2020 est.,3,South Asia
Japan,392,japan,"$5,224,850,000,000",2019 est.,4,East Asia/Southeast Asia
Germany,276,germany,"$4,238,800,000,000",2020 est.,5,Europe
Russia,643,russia,"$3,875,690,000,000",2020 est.,6,Central Asia
Indonesia,360,indonesia,"$3,130,470,000,000",2020 est.,7,East Asia/Southeast Asia
Brazil,76,brazil,"$2,989,430,000,000",2020 est.,8,South America
France,250,france,"$2,832,170,000,000",2020 est.,9,Europe
United Kingdom,826,united-kingdom,"$2,797,980,000,000",2020 est.,10,Europe
Turkey,792,turkey,"$2,393,960,000,000",2020 est.,11,Middle East
Italy,380,italy,"$2,322,140,000,000",2020 est.,12,Europe
Mexico,484,mexico,"$2,306,320,000,000",2020 est.,13,North America
"Korea, South",410,korea-south,"$2,187,800,000,000",2020 est.,14,East Asia/Southeast Asia
Canada,124,canada,"$1,742,790,000,000",2020 est.,15,North America
Spain,724,spain,"$1,714,860,000,000",2020 est.,16,Europe
Saudi Arabia,682,saudi-arabia,"$1,543,240,000,000",2020 est.,17,Middle East
Australia,36,australia,"$1,250,900,000,000",2020 est.,18,Australia - Oceania
Poland,616,poland,"$1,223,460,000,000",2020 est.,19,Europe
Egypt,818,egypt,"$1,223,040,000,000",2020 est.,20,Africa
Thailand,764,thailand,"$1,206,620,000,000",2020 est.,21,East Asia/Southeast Asia
Taiwan,158,taiwan,"$1,143,277,000,000",2019 est.,22,East Asia/Southeast Asia
Iran,364,iran,"$1,044,310,000,000",2020 est.,23,Middle East
Pakistan,586,pakistan,"$1,021,130,000,000",2020 est.,24,South Asia
Nigeria,566,nigeria,"$1,013,530,000,000",2020 est.,25,Africa
Netherlands,528,netherlands,"$945,480,000,000",2020 est.,26,Europe
Argentina,32,argentina,"$893,310,000,000",2020 est.,27,South America
Philippines,608,philippines,"$871,560,000,000",2020 est.,28,East Asia/Southeast Asia
Malaysia,458,malaysia,"$855,600,000,000",2020 est.,29,East Asia/Southeast Asia
Vietnam,704,vietnam,"$798,210,000,000",2020 est.,30,East Asia/Southeast Asia
Bangladesh,50,bangladesh,"$793,490,000,000",2020 est.,31,South Asia
Colombia,170,colombia,"$683,940,000,000",2020 est.,32,South America
South Africa,710,south-africa,"$680,040,000,000",2020 est.,33,Africa
United Arab Emirates,784,united-arab-emirates,"$655,790,000,000",2019 est.,34,Middle East
Switzerland,756,switzerland,"$590,710,000,000",2020 est.,35,Europe
Belgium,56,belgium,"$557,110,000,000",2020 est.,36,Europe
Romania,642,romania,"$556,070,000,000",2020 est.,37,Europe
Singapore,702,singapore,"$531,040,000,000",2020 est.,38,East Asia/Southeast Asia
Sweden,752,sweden,"$524,750,000,000",2020 est.,39,Europe
Ukraine,804,ukraine,"$516,680,000,000",2020 est.,40,Europe
Kazakhstan,398,kazakhstan,"$475,180,000,000",2020 est.,41,Central Asia
Algeria,12,algeria,"$468,400,000,000",2020 est.,42,Africa
Austria,40,austria,"$463,120,000,000",2020 est.,43,Europe
Ireland,372,ireland,"$447,970,000,000",2020 est.,44,Europe
Chile,152,chile,"$445,880,000,000",2020 est.,45,South America
Hong Kong,344,hong-kong,"$420,130,000,000",2020 est.,46,East Asia/Southeast Asia
Czechia,203,czechia,"$409,970,000,000",2020 est.,47,Europe
Iraq,368,iraq,"$372,270,000,000",2020 est.,48,Middle East
Peru,604,peru,"$371,290,000,000",2020 est.,49,South America
Israel,376,israel,"$353,390,000,000",2020 est.,50,Middle East
Norway,578,norway,"$342,060,000,000",2020 est.,51,Europe
Portugal,620,portugal,"$331,640,000,000",2020 est.,52,Europe
Denmark,208,denmark,"$326,200,000,000",2020 est.,53,Europe
Hungary,348,hungary,"$302,320,000,000",2020 est.,54,Europe
Greece,300,greece,"$292,400,000,000",2020 est.,55,Europe
Sri Lanka,144,sri-lanka,"$274,800,000,000",2020 est.,56,South Asia
Venezuela,862,venezuela,"$269,068,000,000",2018 est.,57,South America
Ethiopia,231,ethiopia,"$264,050,000,000",2020 est.,58,Africa
Finland,246,finland,"$261,390,000,000",2020 est.,59,Europe
Morocco,504,morocco,"$259,420,000,000",2020 est.,60,Africa
Burma,#N/A,burma,"$247,240,000,000",2020 est.,61,East Asia/Southeast Asia
Qatar,634,qatar,"$245,660,000,000",2020 est.,62,Middle East
Uzbekistan,860,uzbekistan,"$239,420,000,000",2020 est.,63,Central Asia
Kenya,404,kenya,"$226,940,000,000",2020 est.,64,Africa
New Zealand,554,new-zealand,"$215,600,000,000",2020 est.,65,Australia - Oceania
Kuwait,414,kuwait,"$209,740,000,000",2019 est.,66,Middle East
Angola,24,angola,"$203,710,000,000",2020 est.,67,Africa
Dominican Republic,214,dominican-republic,"$184,450,000,000",2020 est.,68,Central America
Ecuador,218,ecuador,"$182,240,000,000",2020 est.,69,South America
Belarus,112,belarus,"$179,970,000,000",2020 est.,70,Europe
Sudan,729,sudan,"$176,400,000,000",2020 est.,71,Africa
Montserrat,#N/A,montserrat,"$167,400,000,000",2011 est.,72,Central America
Slovakia,703,slovakia,"$165,570,000,000",2020 est.,73,Europe
Ghana,288,ghana,"$164,840,000,000",2020 est.,74,Africa
Bulgaria,100,bulgaria,"$155,060,000,000",2020 est.,75,Europe
Tanzania,834,tanzania,"$152,790,000,000",2020 est.,76,Africa
Guatemala,320,guatemala,"$141,500,000,000",2020 est.,77,Central America
Azerbaijan,31,azerbaijan,"$138,510,000,000",2020 est.,78,Middle East
Cuba,#N/A,cuba,"$137,000,000,000",2017 est.,79,Central America
Cote d'Ivoire,384,cote-divoire,"$136,480,000,000",2020 est.,80,Africa
Oman,#N/A,oman,"$135,790,000,000",2019 est.,81,Middle East
Serbia,688,serbia,"$125,800,000,000",2020 est.,82,Europe
Tunisia,788,tunisia,"$114,970,000,000",2020 est.,83,Africa
Nepal,524,nepal,"$110,720,000,000",2020 est.,84,South Asia
Panama,591,panama,"$109,520,000,000",2020 est.,85,Central America
Croatia,191,croatia,"$107,110,000,000",2020 est.,86,Europe
Puerto Rico,#N/A,puerto-rico,"$106,820,000,000",2020 est.,87,Central America
Lithuania,440,lithuania,"$102,660,000,000",2020 est.,88,Europe
Costa Rica,188,costa-rica,"$100,250,000,000",2020 est.,89,Central America
Jordan,400,jordan,"$100,160,000,000",2020 est.,90,Middle East
Uganda,800,uganda,"$99,610,000,000",2020 est.,91,Africa
"Congo, Democratic Republic of the",178,congo-democratic-republic-of-the,"$96,030,000,000",2020 est.,92,Africa
Cameroon,120,cameroon,"$94,940,000,000",2020 est.,93,Africa
Bolivia,68,bolivia,"$92,590,000,000",2020 est.,94,South America
Turkmenistan,795,turkmenistan,"$92,330,000,000",2019 est.,95,Central Asia
Paraguay,600,paraguay,"$87,980,000,000",2020 est.,96,South America
Lebanon,422,lebanon,"$79,510,000,000",2020 est.,97,Middle East
Afghanistan,4,afghanistan,"$77,040,000,000",2020 est.,98,South Asia
Slovenia,705,slovenia,"$76,750,000,000",2020 est.,99,Europe
Uruguay,858,uruguay,"$75,060,000,000",2020 est.,100,South America
Yemen,887,yemen,"$73,630,000,000",2017 est.,101,Middle East
Libya,434,libya,"$70,650,000,000",2020 est.,102,Africa
Cambodia,116,cambodia,"$70,080,000,000",2020 est.,103,East Asia/Southeast Asia
Luxembourg,442,luxembourg,"$69,720,000,000",2020 est.,104,Europe
Bahrain,48,bahrain,"$69,650,000,000",2020 est.,105,Middle East
Zambia,894,zambia,"$60,120,000,000",2020 est.,106,Africa
Latvia,428,latvia,"$56,920,000,000",2020 est.,107,Europe
Laos,#N/A,laos,"$56,790,000,000",2020 est.,108,East Asia/Southeast Asia
Senegal,686,senegal,"$55,260,000,000",2020 est.,109,Africa
Georgia,268,georgia,"$52,330,000,000",2020 est.,110,Middle East
El Salvador,222,el-salvador,"$52,260,000,000",2020 est.,111,Central America
