name,,slug,value,date_of_information,ranking,region
China,156,china,"751,886,119",,1,East Asia/Southeast Asia
India,356,india,"446,759,327",,2,South Asia
United States,840,united-states,"285,519,020",,3,North America
Brazil,76,brazil,"140,908,998",,4,South America
Russia,643,russia,"114,920,477",,5,Central Asia
Japan,392,japan,"106,725,643",,6,East Asia/Southeast Asia
Indonesia,360,indonesia,"104,563,108",,7,East Asia/Southeast Asia
Nigeria,566,nigeria,"85,450,052",,8,Africa
Mexico,484,mexico,"82,843,369",,9,North America
Germany,276,germany,"72,202,773",,10,Europe
Vietnam,704,vietnam,"68,267,875",,11,East Asia/Southeast Asia
Philippines,608,philippines,"63,588,975",,12,East Asia/Southeast Asia
United Kingdom,826,united-kingdom,"61,784,878",,13,Europe
Iran,364,iran,"58,117,322",,14,Middle East
Turkey,792,turkey,"57,725,143",,15,Middle East
France,250,france,"55,265,718",,16,Europe
"Korea, South",410,korea-south,"49,309,955",,17,East Asia/Southeast Asia
Egypt,818,egypt,"46,644,728",,18,Africa
Italy,380,italy,"46,305,301",,19,Europe
Spain,724,spain,"42,478,990",,20,Europe
Thailand,764,thailand,"38,987,531",,21,East Asia/Southeast Asia
Pakistan,586,pakistan,"34,734,689",,22,South Asia
Canada,124,canada,"33,743,954",,23,North America
Argentina,32,argentina,"33,203,320",,24,South America
South Africa,710,south-africa,"31,107,064",,25,Africa
Saudi Arabia,682,saudi-arabia,"30,877,318",,26,Middle East
Colombia,170,colombia,"29,990,017",,27,South America
Poland,616,poland,"29,791,401",,28,Europe
Ukraine,804,ukraine,"25,883,509",,29,Europe
Malaysia,458,malaysia,"25,829,444",,30,East Asia/Southeast Asia
Algeria,12,algeria,"24,819,531",,31,Africa
Bangladesh,50,bangladesh,"23,917,950",,32,South Asia
Morocco,504,morocco,"22,596,729",,33,Africa
Taiwan,158,taiwan,"21,845,944",,34,East Asia/Southeast Asia
Australia,36,australia,"21,419,302",,35,Australia - Oceania
Venezuela,862,venezuela,"21,354,499",,36,South America
Ethiopia,231,ethiopia,"19,118,470",,37,Africa
Iraq,368,iraq,"18,364,390",,38,Middle East
Burma,#N/A,burma,"17,064,985",,39,East Asia/Southeast Asia
Peru,604,peru,"16,461,427",,40,South America
Netherlands,528,netherlands,"16,243,928",,41,Europe
Uzbekistan,860,uzbekistan,"15,705,402",,42,Central Asia
Romania,642,romania,"15,165,890",,43,Europe
Kazakhstan,398,kazakhstan,"14,789,448",,44,Central Asia
Chile,152,chile,"14,757,868",,45,South America
Tanzania,834,tanzania,"13,862,836",,46,Africa
Sudan,#N/A,sudan,"13,311,404",,47,Africa
Cote d'Ivoire,384,cote-divoire,"12,295,204",,48,Africa
Ghana,288,ghana,"10,959,964",,49,Africa
Guatemala,320,guatemala,"10,777,827",,50,Central America
Belgium,56,belgium,"10,258,638",,51,Europe
Nepal,524,nepal,"10,103,980",,52,South Asia
Uganda,800,uganda,"9,620,681",,53,Africa
United Arab Emirates,784,united-arab-emirates,"9,550,945",,54,Middle East
Ecuador,218,ecuador,"9,448,692",,55,South America
Sweden,752,sweden,"9,251,773",,56,Europe
Kenya,404,kenya,"9,129,243",,57,Africa
Czechia,203,czechia,"8,622,750",,58,Europe
"Congo, Democratic Republic of the",178,congo-democratic-republic-of-the,"8,231,357",,59,Africa
Azerbaijan,31,azerbaijan,"8,017,120",,60,Middle East
Greece,300,greece,"7,783,381",,61,Europe
Portugal,620,portugal,"7,731,411",,62,Europe
Austria,40,austria,"7,712,665",,63,Europe
Dominican Republic,214,dominican-republic,"7,705,529",,64,Central America
Sri Lanka,144,sri-lanka,"7,700,876",,65,South Asia
Yemen,887,yemen,"7,659,884",,66,Middle East
Belarus,112,belarus,"7,539,145",,67,Europe
Hungary,348,hungary,"7,474,413",,68,Europe
Switzerland,756,switzerland,"7,437,820",,69,Europe
Tunisia,788,tunisia,"7,392,242",,70,Africa
Jordan,400,jordan,"6,985,174",,71,Middle East
Senegal,686,senegal,"6,909,635",,72,Africa
Israel,376,israel,"6,873,037",,73,Middle East
Cambodia,116,cambodia,"6,579,808",,74,East Asia/Southeast Asia
Hong Kong,344,hong-kong,"6,450,167",,75,East Asia/Southeast Asia
Cuba,#N/A,cuba,"6,353,020",,76,Central America
Cameroon,120,cameroon,"6,089,200",,77,Africa
Syria,760,syria,"6,077,510",,78,Middle East
Denmark,208,denmark,"5,672,398",,79,Europe
Singapore,702,singapore,"5,286,665",,80,East Asia/Southeast Asia
