name,,slug,value,date_of_information,ranking,region
Monaco,#N/A,monaco,89.4,,1,Europe
Singapore,702,singapore,86.19,,2,East Asia/Southeast Asia
Macau,#N/A,macau,84.81,,3,East Asia/Southeast Asia
Japan,392,japan,84.65,,4,East Asia/Southeast Asia
San Marino,#N/A,san-marino,83.68,,5,Europe
Canada,124,canada,83.62,,6,North America
Iceland,352,iceland,83.45,,7,Europe
Hong Kong,344,hong-kong,83.41,,8,East Asia/Southeast Asia
Andorra,#N/A,andorra,83.23,,9,Europe
Israel,376,israel,83.15,,10,Middle East
Guernsey,#N/A,guernsey,83.03,,11,Europe
Switzerland,756,switzerland,83.03,,12,Europe
Malta,470,malta,83,,13,Europe
Australia,36,australia,82.89,,14,Australia - Oceania
"Korea, South",410,korea-south,82.78,,15,East Asia/Southeast Asia
Luxembourg,442,luxembourg,82.78,,16,Europe
Italy,380,italy,82.67,,17,Europe
Sweden,752,sweden,82.6,,18,Europe
Jersey,#N/A,jersey,82.43,,19,Europe
France,250,france,82.39,,20,Europe
Liechtenstein,#N/A,liechtenstein,82.36,,21,Europe
Norway,578,norway,82.35,,22,Europe
New Zealand,554,new-zealand,82.33,,23,Australia - Oceania
Spain,724,spain,82.21,,24,Europe
Austria,40,austria,82.07,,25,Europe
Anguilla,#N/A,anguilla,82,,26,Central America
Netherlands,528,netherlands,81.95,,27,Europe
Cayman Islands,#N/A,cayman-islands,81.84,,28,Central America
Isle of Man,#N/A,isle-of-man,81.84,,29,Europe
Bermuda,#N/A,bermuda,81.83,,30,North America
Belgium,56,belgium,81.65,,31,Europe
Slovenia,705,slovenia,81.61,,32,Europe
Finland,246,finland,81.55,,33,Europe
Puerto Rico,#N/A,puerto-rico,81.47,,34,Central America
Denmark,208,denmark,81.45,,35,Europe
Ireland,372,ireland,81.45,,36,Europe
Germany,276,germany,81.3,,37,Europe
United Kingdom,826,united-kingdom,81.3,,38,Europe
Portugal,620,portugal,81.29,,39,Europe
Greece,300,greece,81.28,,40,Europe
Saint Pierre and Miquelon,#N/A,saint-pierre-and-miquelon,81.2,,41,North America
Faroe Islands,#N/A,faroe-islands,81.04,,42,Europe
Taiwan,158,taiwan,80.95,,43,East Asia/Southeast Asia
Turks and Caicos Islands,#N/A,turks-and-caicos-islands,80.6,,44,Central America
Wallis and Futuna,#N/A,wallis-and-futuna,80.45,,45,Australia - Oceania
United States,840,united-states,80.43,,46,North America
Saint Barthelemy,#N/A,saint-barthelemy,80.36,,47,Central America
Saint Martin,#N/A,saint-martin,80.36,,48,Central America
"Saint Helena, Ascension, and Tristan da Cunha",#N/A,saint-helena-ascension-and-tristan-da-cunha,80.25,,49,Africa
Gibraltar,#N/A,gibraltar,80.2,,50,Europe
Virgin Islands,#N/A,virgin-islands,80.05,,51,Central America
Bahrain,48,bahrain,79.67,,52,Middle East
Qatar,634,qatar,79.58,,53,Middle East
Chile,152,chile,79.57,,54,South America
Cyprus,196,cyprus,79.51,,55,Europe
Czechia,203,czechia,79.5,,56,Europe
Panama,591,panama,79.47,,57,Central America
British Virgin Islands,#N/A,british-virgin-islands,79.44,,58,Central America
Costa Rica,188,costa-rica,79.41,,59,Central America
Cuba,#N/A,cuba,79.41,,60,Central America
United Arab Emirates,784,united-arab-emirates,79.37,,61,Middle East
Albania,8,albania,79.23,,62,Europe
Curacao,#N/A,curacao,79.19,,63,Central America
Sint Maarten,#N/A,sint-maarten,79.03,,64,Central America
Kuwait,414,kuwait,78.9,,65,Middle East
Saint Lucia,#N/A,saint-lucia,78.71,,66,Central America
New Caledonia,#N/A,new-caledonia,78.59,,67,Australia - Oceania
Lebanon,422,lebanon,78.53,,68,Middle East
Poland,616,poland,78.53,,69,Europe
Barbados,#N/A,barbados,78.31,,70,Central America
French Polynesia,#N/A,french-polynesia,78.19,,71,Australia - Oceania
Uruguay,858,uruguay,78.19,,72,South America
Brunei,#N/A,brunei,78.14,,73,East Asia/Southeast Asia
Paraguay,600,paraguay,78.13,,74,South America
Argentina,32,argentina,78.07,,75,South America
Slovakia,703,slovakia,78.07,,76,Europe
Dominica,#N/A,dominica,77.96,,77,Central America
Algeria,12,algeria,77.79,,78,Africa
Aruba,#N/A,aruba,77.76,,79,Central America
Ecuador,218,ecuador,77.76,,80,South America
Sri Lanka,144,sri-lanka,77.75,,81,South Asia
Bosnia and Herzegovina,70,bosnia-and-herzegovina,77.74,,82,Europe
Estonia,233,estonia,77.63,,83,Europe
Antigua and Barbuda,#N/A,antigua-and-barbuda,77.55,,84,Central America
Montenegro,499,montenegro,77.51,,85,Europe
Thailand,764,thailand,77.41,,86,East Asia/Southeast Asia
Tonga,#N/A,tonga,77.29,,87,Australia - Oceania
Georgia,268,georgia,77.25,,88,Middle East
Guam,#N/A,guam,77.25,,89,Australia - Oceania
Croatia,191,croatia,76.97,,90,Europe
Hungary,348,hungary,76.95,,91,Europe
Mexico,484,mexico,76.94,,92,North America
Libya,434,libya,76.93,,93,Africa
Colombia,170,colombia,76.91,,94,South America
Cook Islands,#N/A,cook-islands,76.89,,95,Australia - Oceania
Saint Kitts and Nevis,#N/A,saint-kitts-and-nevis,76.83,,96,Central America
Mauritius,480,mauritius,76.7,,97,Africa
Maldives,#N/A,maldives,76.69,,98,South Asia
Oman,#N/A,oman,76.64,,99,Middle East
Tunisia,788,tunisia,76.57,,101,Africa
Serbia,688,serbia,76.56,,102,Europe
Solomon Islands,#N/A,solomon-islands,76.45,,103,Australia - Oceania
Saint Vincent and the Grenadines,#N/A,saint-vincent-and-the-grenadines,76.43,,104,Central America
Saudi Arabia,682,saudi-arabia,76.4,,105,Middle East
Northern Mariana Islands,#N/A,northern-mariana-islands,76.33,,106,Australia - Oceania
China,156,china,76.31,,107,East Asia/Southeast Asia
Romania,642,romania,76.3,,108,Europe
West Bank,#N/A,west-bank,76.12,,109,Middle East
Turkey,792,turkey,75.96,,110,Middle East
"Bahamas, The",#N/A,bahamas-the,75.87,,111,Central America
Malaysia,458,malaysia,75.87,,112,East Asia/Southeast Asia
Armenia,51,armenia,75.86,,113,Middle East
Seychelles,#N/A,seychelles,75.84,,114,Africa
Jordan,400,jordan,75.75,,115,Middle East
Latvia,428,latvia,75.65,,116,Europe
Lithuania,440,lithuania,75.61,,117,Europe
Belize,84,belize,75.56,,118,Central America
Jamaica,388,jamaica,75.49,,119,Central America
Montserrat,#N/A,montserrat,75.49,,120,Central America
Grenada,#N/A,grenada,75.48,,121,Central America
Bulgaria,100,bulgaria,75.3,,122,Europe
Vietnam,704,vietnam,75.25,,123,East Asia/Southeast Asia
Gaza Strip,#N/A,gaza-strip,75.14,,124,Middle East
El Salvador,222,el-salvador,75.11,,125,Central America
American Samoa,#N/A,american-samoa,75.06,,126,Australia - Oceania
Iran,364,iran,75.06,,127,Middle East
Uzbekistan,860,uzbekistan,75.03,,128,Central Asia
Brazil,76,brazil,74.98,,129,South America
Peru,604,peru,74.96,,130,South America
Samoa,#N/A,samoa,74.92,,131,Australia - Oceania
Trinidad and Tobago,11,trinidad-and-tobago,74.92,,132,Central America
Honduras,340,honduras,74.9,,133,Central America
Vanuatu,#N/A,vanuatu,74.87,,134,Australia - Oceania
Nicaragua,558,nicaragua,74.51,,135,Central America
Bangladesh,50,bangladesh,74.43,,136,South Asia
Marshall Islands,#N/A,marshall-islands,74.38,,137,Australia - Oceania
Palau,#N/A,palau,74.38,,138,Australia - Oceania
"Micronesia, Federated States of",#N/A,micronesia-federated-states-of,74.17,,139,Australia - Oceania
Belarus,112,belarus,74.01,,140,Europe
Egypt,818,egypt,74.01,,141,Africa
Syria,760,syria,74.01,,142,Middle East
Fiji,#N/A,fiji,74,,143,Australia - Oceania
Azerbaijan,31,azerbaijan,73.88,,144,Middle East
Greenland,#N/A,greenland,73.71,,145,North America
Suriname,#N/A,suriname,73.57,,146,South America
Morocco,504,morocco,73.56,,147,Africa
Cabo Verde,#N/A,cabo-verde,73.47,,148,Africa
Ukraine,804,ukraine,73.18,,149,Europe
Kosovo,383,kosovo,72.99,,150,Europe
Iraq,368,iraq,72.9,,151,Middle East
Indonesia,360,indonesia,72.82,,152,East Asia/Southeast Asia
Guatemala,320,guatemala,72.63,,153,Central America
Dominican Republic,214,dominican-republic,72.28,,154,Central America
Kazakhstan,398,kazakhstan,72.25,,155,Central Asia
Venezuela,862,venezuela,72.22,,156,South America
Malawi,454,malawi,72.16,,157,Africa
Moldova,498,moldova,72.16,,158,Europe
Russia,643,russia,72.16,,159,Central Asia
Nepal,524,nepal,72.12,,160,South Asia
Kyrgyzstan,417,kyrgyzstan,72.07,,161,Central Asia
"Korea, North",#N/A,korea-north,71.65,,162,East Asia/Southeast Asia
Guyana,#N/A,guyana,71.59,,163,South America
Turkmenistan,795,turkmenistan,71.54,,164,Central Asia
Bhutan,64,bhutan,71.5,,165,South Asia
Mongolia,496,mongolia,71.08,,166,East Asia/Southeast Asia
Togo,768,togo,70.99,,167,Africa
Bolivia,68,bolivia,70.7,,168,South America
Philippines,608,philippines,70.32,,169,East Asia/Southeast Asia
India,356,india,70.03,,170,South Asia
Tanzania,834,tanzania,69.9,,171,Africa
Papua New Guinea,#N/A,papua-new-guinea,69.86,,172,East Asia/Southeast Asia
Burma,#N/A,burma,69.62,,173,East Asia/Southeast Asia
Timor-Leste,#N/A,timor-leste,69.62,,174,East Asia/Southeast Asia
Gabon,266,gabon,69.37,,175,Africa
Pakistan,586,pakistan,69.37,,176,South Asia
Kenya,404,kenya,69.32,,177,Africa
Tajikistan,762,tajikistan,69.06,,178,Central Asia
Ghana,288,ghana,69.01,,179,Africa
Uganda,800,uganda,68.58,,180,Africa
Tuvalu,#N/A,tuvalu,68.07,,181,Australia - Oceania
Ethiopia,231,ethiopia,67.9,,182,Africa
Madagascar,450,madagascar,67.86,,183,Africa
Nauru,#N/A,nauru,67.62,,184,Australia - Oceania
Kiribati,#N/A,kiribati,67.59,,185,Australia - Oceania
Yemen,887,yemen,67.18,,186,Middle East
Burundi,108,burundi,67.07,,187,Africa
