name,,slug,value,date_of_information,ranking,region
Monaco,#N/A,monaco,55.4,,1,Europe
Japan,392,japan,48.6,,2,East Asia/Southeast Asia
Saint Pierre and Miquelon,#N/A,saint-pierre-and-miquelon,48.5,,3,North America
Germany,276,germany,47.8,,4,Europe
Italy,380,italy,46.5,,5,Europe
Andorra,#N/A,andorra,46.2,,6,Europe
Hong Kong,344,hong-kong,45.6,,7,East Asia/Southeast Asia
Saint Barthelemy,#N/A,saint-barthelemy,45.6,,8,Central America
Greece,300,greece,45.3,,9,Europe
San Marino,#N/A,san-marino,45.2,,10,Europe
Slovenia,705,slovenia,44.9,,11,Europe
Isle of Man,#N/A,isle-of-man,44.6,,12,Europe
Portugal,620,portugal,44.6,,13,Europe
Austria,40,austria,44.5,,14,Europe
Lithuania,440,lithuania,44.5,,15,Europe
Latvia,428,latvia,44.4,,16,Europe
Guernsey,#N/A,guernsey,44.3,,17,Europe
Croatia,191,croatia,43.9,,18,Europe
Spain,724,spain,43.9,,19,Europe
Bulgaria,100,bulgaria,43.7,,20,Europe
Estonia,233,estonia,43.7,,21,Europe
Liechtenstein,#N/A,liechtenstein,43.7,,22,Europe
Bermuda,#N/A,bermuda,43.6,,23,North America
Hungary,348,hungary,43.6,,24,Europe
Puerto Rico,#N/A,puerto-rico,43.6,,25,Central America
Serbia,688,serbia,43.4,,26,Europe
Bosnia and Herzegovina,70,bosnia-and-herzegovina,43.3,,27,Europe
Czechia,203,czechia,43.3,,28,Europe
"Korea, South",410,korea-south,43.2,,29,East Asia/Southeast Asia
"Saint Helena, Ascension, and Tristan da Cunha",#N/A,saint-helena-ascension-and-tristan-da-cunha,43.2,,30,Africa
Finland,246,finland,42.8,,31,Europe
Netherlands,528,netherlands,42.8,,32,Europe
Switzerland,756,switzerland,42.7,,33,Europe
Romania,642,romania,42.5,,34,Europe
Malta,470,malta,42.3,,35,Europe
Taiwan,158,taiwan,42.3,,36,East Asia/Southeast Asia
Cuba,#N/A,cuba,42.1,,37,Central America
Denmark,208,denmark,42,,38,Europe
Poland,616,poland,41.9,,39,Europe
Canada,124,canada,41.8,,40,North America
Slovakia,703,slovakia,41.8,,41,Europe
Virgin Islands,#N/A,virgin-islands,41.8,,42,Central America
France,250,france,41.7,,43,Europe
Belgium,56,belgium,41.6,,44,Europe
Ukraine,804,ukraine,41.2,,45,Europe
Sint Maarten,#N/A,sint-maarten,41.1,,46,Central America
Sweden,752,sweden,41.1,,47,Europe
Belarus,112,belarus,40.9,,48,Europe
Macau,#N/A,macau,40.8,,49,East Asia/Southeast Asia
United Kingdom,826,united-kingdom,40.6,,50,Europe
Cayman Islands,#N/A,cayman-islands,40.5,,51,Central America
Russia,643,russia,40.3,,52,Central Asia
Aruba,#N/A,aruba,39.9,,53,Central America
Montenegro,499,montenegro,39.6,,54,Europe
Barbados,#N/A,barbados,39.5,,55,Central America
Luxembourg,442,luxembourg,39.5,,56,Europe
Norway,578,norway,39.5,,57,Europe
Thailand,764,thailand,39,,59,East Asia/Southeast Asia
Georgia,268,georgia,38.6,,60,Middle East
United States,840,united-states,38.5,,61,North America
China,156,china,38.4,,62,East Asia/Southeast Asia
United Arab Emirates,784,united-arab-emirates,38.4,,63,Middle East
Cook Islands,#N/A,cook-islands,38.3,,64,Australia - Oceania
Cyprus,196,cyprus,37.9,,65,Europe
Ireland,372,ireland,37.8,,66,Europe
Trinidad and Tobago,11,trinidad-and-tobago,37.8,,67,Central America
Moldova,498,moldova,37.7,,68,Europe
Australia,36,australia,37.5,,69,Australia - Oceania
Jersey,#N/A,jersey,37.5,,70,Europe
British Virgin Islands,#N/A,british-virgin-islands,37.2,,71,Central America
Faroe Islands,#N/A,faroe-islands,37.2,,72,Europe
New Zealand,554,new-zealand,37.2,,73,Australia - Oceania
