name,,slug,value,date_of_information,ranking,region
Nauru,#N/A,nauru,61,2016,1,Australia - Oceania
Cook Islands,#N/A,cook-islands,55.9,2016,2,Australia - Oceania
Palau,#N/A,palau,55.3,2016,3,Australia - Oceania
Marshall Islands,#N/A,marshall-islands,52.9,2016,4,Australia - Oceania
Tuvalu,#N/A,tuvalu,51.6,2016,5,Australia - Oceania
Niue,#N/A,niue,50,2016,6,Australia - Oceania
Tonga,#N/A,tonga,48.2,2016,7,Australia - Oceania
Samoa,#N/A,samoa,47.3,2016,8,Australia - Oceania
Kiribati,#N/A,kiribati,46,2016,9,Australia - Oceania
"Micronesia, Federated States of",#N/A,micronesia-federated-states-of,45.8,2016,10,Australia - Oceania
Kuwait,414,kuwait,37.9,2016,11,Middle East
United States,840,united-states,36.2,2016,12,North America
Jordan,400,jordan,35.5,2016,13,Middle East
Saudi Arabia,682,saudi-arabia,35.4,2016,14,Middle East
Qatar,634,qatar,35.1,2016,15,Middle East
Libya,434,libya,32.5,2016,16,Africa
Turkey,792,turkey,32.1,2016,17,Middle East
Egypt,818,egypt,32,2016,18,Africa
Lebanon,422,lebanon,32,2016,19,Middle East
United Arab Emirates,784,united-arab-emirates,31.7,2016,20,Middle East
"Bahamas, The",#N/A,bahamas-the,31.6,2016,21,Central America
New Zealand,554,new-zealand,30.8,2016,22,Australia - Oceania
Iraq,368,iraq,30.4,2016,23,Middle East
Fiji,#N/A,fiji,30.2,2016,24,Australia - Oceania
Bahrain,48,bahrain,29.8,2016,25,Middle East
Canada,124,canada,29.4,2016,26,North America
Australia,36,australia,29,2016,27,Australia - Oceania
Malta,470,malta,28.9,2016,28,Europe
Mexico,484,mexico,28.9,2016,29,North America
Argentina,32,argentina,28.3,2016,30,South America
South Africa,710,south-africa,28.3,2016,31,Africa
Chile,152,chile,28,2016,32,South America
Dominica,#N/A,dominica,27.9,2016,33,Central America
Uruguay,858,uruguay,27.9,2016,34,South America
Syria,760,syria,27.8,2016,35,Middle East
United Kingdom,826,united-kingdom,27.8,2016,36,Europe
Dominican Republic,214,dominican-republic,27.6,2016,37,Central America
Algeria,12,algeria,27.4,2016,38,Africa
Oman,#N/A,oman,27,2016,39,Middle East
Tunisia,788,tunisia,26.9,2016,40,Africa
Hungary,348,hungary,26.4,2016,41,Europe
Suriname,#N/A,suriname,26.4,2016,42,South America
Lithuania,440,lithuania,26.3,2016,43,Europe
Israel,376,israel,26.1,2016,44,Middle East
Morocco,504,morocco,26.1,2016,45,Africa
Czechia,203,czechia,26,2016,46,Europe
Iran,364,iran,25.8,2016,47,Middle East
Costa Rica,188,costa-rica,25.7,2016,48,Central America
Andorra,#N/A,andorra,25.6,2016,49,Europe
Venezuela,862,venezuela,25.6,2016,50,South America
Ireland,372,ireland,25.3,2016,51,Europe
Vanuatu,#N/A,vanuatu,25.2,2016,52,Australia - Oceania
Bulgaria,100,bulgaria,25,2016,53,Europe
Greece,300,greece,24.9,2016,54,Europe
Jamaica,388,jamaica,24.7,2016,55,Central America
Cuba,#N/A,cuba,24.6,2016,56,Central America
El Salvador,222,el-salvador,24.6,2016,57,Central America
Belarus,112,belarus,24.5,2016,58,Europe
Croatia,191,croatia,24.4,2016,59,Europe
