country,,totAll,totGold,totSilv,totBrz,pop2021
United States,840,2980,1180,959,841,332915.073
United Kingdom,826,948,296,320,332,68207.116
Germany,276,892,293,293,306,83900.473
France,250,874,258,289,327,65426.179
Italy,380,742,257,224,261,60367.477
China,156,696,275,227,194,1444216.107
Sweden,752,661,205,222,234,10160.169
Australia,36,562,169,178,215,25788.215
Japan,392,555,183,172,200,126050.804
Russia,643,547,196,164,187,145912.025
Norway,578,528,192,176,160,5465.63
Canada,124,525,144,172,209,38067.903
Hungary,348,518,182,156,180,9634.164
Finland,246,472,144,148,180,5548.36
Netherlands,528,451,140,148,163,17173.099
Switzerland,756,358,109,124,125,8715.494
South Korea,410,357,127,116,114,51305.186
Austria,40,326,83,115,128,9043.07
Poland,616,320,79,96,145,37797.005
Romania,642,309,90,97,122,19127.774
Cuba,#N/A,241,85,71,85,11317.505
Bulgaria,100,230,55,90,85,6896.663
Denmark,208,206,48,79,79,5813.298
Spain,724,171,49,72,50,46745.216
Belgium,56,161,44,56,61,11632.326
Brazil,76,150,37,42,71,213993.437
Ukraine,804,147,38,37,72,43466.819
New Zealand,554,140,53,34,53,4860.643
Greece,300,121,35,45,41,10370.744
Kenya,404,113,35,42,36,54985.698
Turkey,792,104,41,26,37,85042.738
Belarus,112,103,21,35,47,9442.862
Czech Republic,203,98,28,32,38,10724.555
South Africa,710,89,27,33,29,60041.994
Jamaica,388,87,26,36,25,2973.463
Kazakhstan,398,80,16,24,40,18994.962
Argentina,32,77,21,26,30,45605.826
Iran,364,76,24,23,29,85028.759
Mexico,484,73,13,24,36,130262.216
Ethiopia,231,58,23,12,23,117876.227
North Korea,#N/A,56,16,17,23,25887.041
Croatia,191,52,18,19,15,4081.651
Azerbaijan,31,49,7,14,28,10223.342
Slovenia,705,45,10,14,21,2078.724
Estonia,233,43,14,11,18,1325.185
Slovakia,703,40,13,18,9,5460.721
Georgia,268,40,10,12,18,3979.765
Egypt,818,38,8,11,19,104258.327
Indonesia,360,37,8,14,15,276361.783
Uzbekistan,860,37,11,6,20,33935.763
India,356,35,10,9,16,1393409.038
Thailand,764,35,10,8,17,69950.85
Ireland,372,35,11,10,14,4982.907
Colombia,170,34,5,13,16,51265.844
Mongolia,496,30,2,11,17,3329.289
Latvia,428,30,5,14,11,1866.942
Portugal,620,28,5,9,14,10167.925
Nigeria,566,27,3,11,13,211400.708
Lithuania,440,26,6,7,13,2689.862
Morocco,504,24,7,5,12,37344.795
Serbia,688,24,6,7,11,8697.55
Venezuela,862,19,3,7,9,28704.954
Trinidad and Tobago,11,19,3,5,11,1403.375
Armenia,51,18,2,8,8,2968.127
Algeria,12,17,5,4,8,44616.624
Bahamas,#N/A,16,8,2,6,396.913
Tunisia,788,15,5,3,7,11935.766
Philippines,608,14,1,5,8,111046.913
Malaysia,458,13,0,8,5,32776.194
Chile,152,13,2,7,4,19212.361
Israel,376,13,3,1,9,8789.774
Dominican Republic,214,12,3,5,4,10953.703
Uganda,800,11,4,4,3,47123.531
Pakistan,586,10,3,3,4,225199.937
Uruguay,858,10,2,2,6,3485.151
Puerto Rico,#N/A,10,2,2,6,2828.255
Liechtenstein,#N/A,10,2,2,6,38.25
Hong Kong,344,9,2,3,4,7552.81
Zimbabwe,716,8,3,4,1,15092.171
Qatar,634,8,2,1,5,2930.528
Kyrgyzstan,417,7,0,3,4,6628.356
Cameroon,120,6,3,1,2,27224.265
Moldova,498,6,0,2,4,4024.019
Vietnam,704,5,1,3,1,98168.833
Ghana,288,5,0,1,4,31732.129
Ecuador,218,5,3,2,0,17888.475
Singapore,702,5,1,2,2,5896.686
Namibia,516,5,0,5,0,2587.344
Saudi Arabia,682,4,0,2,2,35340.683
Peru,604,4,1,3,0,33359.418
