name,country_id,slug,value,date_of_information,ranking,region
China,156,china,"1,397,897,720",July 2021 est.,1,East Asia/Southeast Asia
India,356,india,"1,339,330,514",July 2021 est.,2,South Asia
United States,840,united-states,"334,998,398",July 2021 est.,3,North America
Indonesia,360,indonesia,"275,122,131",July 2021 est.,4,East Asia/Southeast Asia
Pakistan,586,pakistan,"238,181,034",July 2021 est.,5,South Asia
Nigeria,566,nigeria,"219,463,862",July 2021 est.,6,Africa
Brazil,76,brazil,"213,445,417",July 2021 est.,7,South America
Bangladesh,50,bangladesh,"164,098,818",July 2021 est.,8,South Asia
Russia,643,russia,"142,320,790",July 2021 est.,9,Central Asia
Mexico,484,mexico,"130,207,371",July 2021 est.,10,North America
Japan,392,japan,"124,687,293",July 2021 est.,11,East Asia/Southeast Asia
Ethiopia,231,ethiopia,"110,871,031",July 2021 est.,12,Africa
Philippines,608,philippines,"110,818,325",July 2021 est.,13,East Asia/Southeast Asia
Egypt,818,egypt,"106,437,241",July 2021 est.,14,Africa
"Congo, Democratic Republic of the",180,congo-democratic-republic-of-the,"105,044,646",July 2021 est.,15,Africa
Vietnam,704,vietnam,"102,789,598",July 2021 est.,16,East Asia/Southeast Asia
Iran,364,iran,"85,888,910",July 2021 est.,17,Middle East
Turkey,792,turkey,"82,482,383",July 2021 est.,18,Middle East
Germany,276,germany,"79,903,481",July 2021 est.,19,Europe
Thailand,764,thailand,"69,480,520",July 2021 est.,20,East Asia/Southeast Asia
France,250,france,"68,084,217",July 2021 est.,21,Europe
United Kingdom,826,united-kingdom,"67,081,000",June 2020 est.,22,Europe
Italy,380,italy,"62,390,364",July 2021 est.,23,Europe
Tanzania,834,tanzania,"62,092,761",July 2021 est.,24,Africa
Burma,#N/A,burma,"57,069,099",July 2021 est.,25,East Asia/Southeast Asia
South Africa,710,south-africa,"56,978,635",July 2021 est.,26,Africa
Kenya,404,kenya,"54,685,051",July 2021 est.,27,Africa
"Korea, South",410,korea-south,"51,715,162",July 2021 est.,28,East Asia/Southeast Asia
Colombia,170,colombia,"50,355,650",July 2021 est.,29,South America
Spain,724,spain,"47,260,584",July 2021 est.,30,Europe
Sudan,729,sudan,"46,751,152",July 2021 est.,31,Africa
Argentina,32,argentina,"45,864,941",July 2021 est.,32,South America
Uganda,800,uganda,"44,712,143",July 2021 est.,33,Africa
Ukraine,804,ukraine,"43,745,640",July 2021 est.,34,Europe
Algeria,12,algeria,"43,576,691",July 2021 est.,35,Africa
Iraq,368,iraq,"39,650,145",July 2021 est.,36,Middle East
Poland,616,poland,"38,185,913",July 2021 est.,37,Europe
Canada,124,canada,"37,943,231",July 2021 est.,38,North America
Afghanistan,4,afghanistan,"37,466,414",July 2021 est.,39,South Asia
Morocco,504,morocco,"36,561,813",July 2021 est.,40,Africa
Saudi Arabia,682,saudi-arabia,"34,783,757",July 2021 est.,41,Middle East
Angola,24,angola,"33,642,646",July 2021 est.,42,Africa
Malaysia,458,malaysia,"33,519,406",July 2021 est.,43,East Asia/Southeast Asia
Ghana,288,ghana,"32,372,889",July 2021 est.,44,Africa
Peru,604,peru,"32,201,224",July 2021 est.,45,South America
Mozambique,508,mozambique,"30,888,034",July 2021 est.,46,Africa
Uzbekistan,860,uzbekistan,"30,842,796",July 2021 est.,47,Central Asia
Nepal,524,nepal,"30,424,878",July 2021 est.,48,South Asia
Yemen,887,yemen,"30,399,243",July 2021 est.,49,Middle East
Venezuela,862,venezuela,"29,069,153",July 2021 est.,50,South America
Cameroon,120,cameroon,"28,524,175",July 2021 est.,51,Africa
Cote d'Ivoire,384,cote-divoire,"28,088,455",July 2021 est.,52,Africa
Madagascar,450,madagascar,"27,534,354",July 2021 est.,53,Africa
"Korea, North",#N/A,korea-north,"25,831,360",July 2021 est.,54,East Asia/Southeast Asia
Australia,36,australia,"25,809,973",July 2021 est.,55,Australia - Oceania
Niger,562,niger,"23,605,767",July 2021 est.,56,Africa
Taiwan,158,taiwan,"23,572,052",July 2021 est.,57,East Asia/Southeast Asia
Sri Lanka,144,sri-lanka,"23,044,123",July 2021 est.,58,South Asia
Burkina Faso,854,burkina-faso,"21,382,659",July 2021 est.,59,Africa
Romania,642,romania,"21,230,362",July 2021 est.,60,Europe
Syria,760,syria,"20,384,316",July 2021 est.,61,Middle East
Malawi,454,malawi,"20,308,502",July 2021 est.,62,Africa
Mali,466,mali,"20,137,527",July 2021 est.,63,Africa
Kazakhstan,398,kazakhstan,"19,245,793",July 2021 est.,64,Central Asia
Zambia,894,zambia,"19,077,816",July 2021 est.,65,Africa
Chile,152,chile,"18,307,925",July 2021 est.,66,South America
Guatemala,320,guatemala,"17,422,821",July 2021 est.,67,Central America
Chad,148,chad,"17,414,108",July 2021 est.,68,Africa
Netherlands,528,netherlands,"17,337,403",July 2021 est.,69,Europe
Cambodia,116,cambodia,"17,304,363",July 2021 est.,70,East Asia/Southeast Asia
Ecuador,218,ecuador,"17,093,159",July 2021 est.,71,South America
Senegal,686,senegal,"16,082,442",July 2021 est.,72,Africa
Zimbabwe,716,zimbabwe,"14,829,988",July 2021 est.,73,Africa
Benin,204,benin,"13,301,694",July 2021 est.,74,Africa
Rwanda,646,rwanda,"12,943,132",July 2021 est.,75,Africa
Guinea,324,guinea,"12,877,894",July 2021 est.,76,Africa
Burundi,108,burundi,"12,241,065",July 2021 est.,77,Africa
Somalia,706,somalia,"12,094,640",July 2021 est.,78,Africa
Tunisia,788,tunisia,"11,811,335",July 2021 est.,79,Africa
Belgium,56,belgium,"11,778,842",July 2021 est.,80,Europe
Bolivia,68,bolivia,"11,758,869",July 2021 est.,81,South America
Haiti,332,haiti,"11,198,240",July 2021 est.,82,Central America
Cuba,#N/A,cuba,"11,032,343",July 2021 est.,83,Central America
South Sudan,728,south-sudan,"10,984,074",July 2021 est.,84,Africa
Jordan,400,jordan,"10,909,567",July 2021 est.,85,Middle East
Czechia,203,czechia,"10,702,596",July 2021 est.,86,Europe
Dominican Republic,214,dominican-republic,"10,597,348",July 2021 est.,87,Central America
Greece,300,greece,"10,569,703",July 2021 est.,88,Europe
Azerbaijan,31,azerbaijan,"10,282,283",July 2021 est.,89,Middle East
Portugal,620,portugal,"10,263,850",July 2021 est.,90,Europe
Sweden,752,sweden,"10,261,767",July 2021 est.,91,Europe
United Arab Emirates,784,united-arab-emirates,"9,856,612",July 2021 est.,92,Middle East
Hungary,348,hungary,"9,728,337",July 2021 est.,93,Europe
Belarus,112,belarus,"9,441,842",July 2021 est.,94,Europe
Honduras,340,honduras,"9,346,277",July 2021 est.,95,Central America
Tajikistan,762,tajikistan,"8,990,874",July 2021 est.,96,Central Asia
Austria,40,austria,"8,884,864",July 2021 est.,97,Europe
Israel,376,israel,"8,787,045",July 2021 est.,98,Middle East
Switzerland,756,switzerland,"8,453,550",July 2021 est.,99,Europe
Togo,768,togo,"8,283,189",July 2021 est.,100,Africa
Laos,#N/A,laos,"7,574,356",July 2021 est.,101,East Asia/Southeast Asia
Papua New Guinea,#N/A,papua-new-guinea,"7,399,757",July 2021 est.,102,East Asia/Southeast Asia
Paraguay,600,paraguay,"7,272,639",July 2021 est.,103,South America
Hong Kong,344,hong-kong,"7,263,234",July 2021 est.,104,East Asia/Southeast Asia
Libya,434,libya,"7,017,224",July 2021 est.,105,Africa
Serbia,688,serbia,"6,974,289",July 2021 est.,106,Europe
Bulgaria,100,bulgaria,"6,919,180",July 2021 est.,107,Europe
Sierra Leone,694,sierra-leone,"6,807,277",July 2021 est.,108,Africa
El Salvador,222,el-salvador,"6,528,135",July 2021 est.,109,Central America
Nicaragua,558,nicaragua,"6,243,931",July 2021 est.,110,Central America
Eritrea,#N/A,eritrea,"6,147,398",July 2021 est.,111,Africa
Kyrgyzstan,417,kyrgyzstan,"6,018,789",July 2021 est.,112,Central Asia
Denmark,208,denmark,"5,894,687",July 2021 est.,113,Europe
Singapore,702,singapore,"5,866,139",July 2021 est.,114,East Asia/Southeast Asia
Finland,246,finland,"5,587,442",July 2021 est.,115,Europe
Turkmenistan,795,turkmenistan,"5,579,889",July 2021 est.,116,Central Asia
Norway,578,norway,"5,509,591",July 2021 est.,117,Europe
Slovakia,703,slovakia,"5,436,066",July 2021 est.,118,Europe
"Congo, Republic of the",178,congo-republic-of-the,"5,417,414",July 2021 est.,119,Africa
Central African Republic,140,central-african-republic,"5,357,984",July 2021 est.,120,Africa
Lebanon,422,lebanon,"5,261,372",July 2021 est.,121,Middle East
Ireland,372,ireland,"5,224,884",July 2021 est.,122,Europe
Liberia,430,liberia,"5,214,030",July 2021 est.,123,Africa
Costa Rica,188,costa-rica,"5,151,140",July 2021 est.,124,Central America
New Zealand,554,new-zealand,"4,991,442",July 2021 est.,125,Australia - Oceania
Georgia,268,georgia,"4,933,674",July 2021 est.,126,Middle East
Croatia,191,croatia,"4,208,973",July 2021 est.,127,Europe
Mauritania,478,mauritania,"4,079,284",July 2021 est.,128,Africa
Panama,591,panama,"3,928,646",July 2021 est.,129,Central America
Bosnia and Herzegovina,70,bosnia-and-herzegovina,"3,824,782",July 2021 est.,130,Europe
Oman,#N/A,oman,"3,694,755",July 2021 est.,131,Middle East
Uruguay,858,uruguay,"3,398,239",July 2021 est.,132,South America
Moldova,498,moldova,"3,323,875",July 2021 est.,133,Europe
Mongolia,496,mongolia,"3,198,913",July 2021 est.,134,East Asia/Southeast Asia
