name,,slug,value,date_of_information,ranking,region
Tuvalu,#N/A,tuvalu,106.7,2013 est.,1,Australia - Oceania
Nauru,#N/A,nauru,90.3,2017 est.,2,Australia - Oceania
Greenland,#N/A,greenland,77.4,2016 est.,3,North America
Kiribati,#N/A,kiribati,76.8,2017 est.,4,Australia - Oceania
Andorra,#N/A,andorra,69,2016,5,Europe
Palau,#N/A,palau,66.1,2016 est.,6,Australia - Oceania
"Micronesia, Federated States of",#N/A,micronesia-federated-states-of,65.2,FY12/13 est.,7,Australia - Oceania
Cuba,#N/A,cuba,58.1,2017 est.,8,Central America
Norway,578,norway,54.4,2017 est.,9,Europe
France,250,france,53.8,2017 est.,10,Europe
Finland,246,finland,53.1,2017 est.,11,Europe
Denmark,208,denmark,53,2017 est.,12,Europe
Marshall Islands,#N/A,marshall-islands,52.6,2013 est.,13,Australia - Oceania
Libya,434,libya,51.6,2017 est.,14,Africa
Belgium,56,belgium,51.3,2017 est.,15,Europe
Sweden,752,sweden,50.6,2017 est.,16,Europe
Greece,300,greece,48.8,2017 est.,17,Europe
Austria,40,austria,48.3,2017 est.,18,Europe
Anguilla,#N/A,anguilla,46.7,2017 est.,19,Central America
Italy,380,italy,46.6,2017 est.,20,Europe
Croatia,191,croatia,46.1,2017 est.,21,Europe
Germany,276,germany,45,2017 est.,22,Europe
Hungary,348,hungary,44.5,2017 est.,23,Europe
Luxembourg,442,luxembourg,44.4,2017 est.,24,Europe
Venezuela,862,venezuela,44.2,2017 est.,25,South America
Bosnia and Herzegovina,70,bosnia-and-herzegovina,44,2017 est.,26,Europe
Netherlands,528,netherlands,43.4,2017 est.,27,Europe
Slovenia,705,slovenia,43.1,2017 est.,28,Europe
Portugal,620,portugal,42.9,2017 est.,29,Europe
Serbia,688,serbia,42.7,2017 est.,30,Europe
Iceland,352,iceland,42.4,2017 est.,31,Europe
Kuwait,414,kuwait,41.8,2017 est.,32,Middle East
Solomon Islands,#N/A,solomon-islands,41,2017 est.,33,Australia - Oceania
Dominica,#N/A,dominica,40.9,2017 est.,34,Central America
Belarus,112,belarus,40.7,2017 est.,35,Europe
San Marino,#N/A,san-marino,40.6,2011 est.,36,Europe
Czechia,203,czechia,40.5,2017 est.,37,Europe
Malta,470,malta,40.4,2017 est.,38,Europe
Bolivia,68,bolivia,39.9,2017 est.,39,South America
Cyprus,196,cyprus,39.9,2017 est.,40,Europe
