country_name,n_ironhack_campuses,country_iso_code,gdp,taxes_per_gdp,area,coast_ratio,population,climate,min_drinking_age,internet_users_ratio,avg_chocolate_consumption,paid_leave,olympic_medals,median_age,birth_rate,life_expectancy,obesity_rate,years_in_school,christian,muslim,unaffiliated,hindu,buddhist,folk_religion,other_religion,jewish,happiness_index_2019,Af,Am,Aw,BSh,BSk,BWh,Cfa,Cfb,Csa,Csb,Cwa,Dfa,Dfb,Dfc,ET
Afghanistan,0,4,77040000000,11.2,652230,0.0,37466414,BWh,-1,0.125899773,0.005660377,35,2,19.5,36.08,53.25,5.5,3.8,30000,31330000,5000,10000,5000,5000,20000,5000,3.203,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Albania,0,8,37730000000,27.6,28748,0.01259218,3088385,Csa,18,0.711249731,0.172641509,32,0,34.3,12.86,79.23,21.7,10.0,580000,2570000,50000,5000,5000,5000,5000,5000,4.719,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Algeria,0,12,468400000000,32.3,2381740,0.000419021,43576691,Csa,18,0.569559791,0.241886792,41,17,28.9,19.24,77.79,27.4,8.0,60000,34730000,660000,5000,5000,10000,5000,5000,5.211,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Argentina,0,32,893310000000,18.9,2780400,0.001794346,45864941,Cfa,18,0.72393683,0.556037736,25,77,32.4,15.8,78.07,28.3,9.9,34420000,400000,4920000,5000,20000,330000,120000,200000,6.086,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Armenia,0,51,37310000000,22.9,29743,0.0,3011609,Dfb,18,0.653119977,1.063181818,36,18,36.6,11.45,75.86,20.2,11.7,3050000,5000,40000,5000,5000,5000,5000,5000,4.559,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Australia,0,36,1250900000000,35.5,7741220,0.003327641,25809973,Cfa,18,0.829884712,1.807169811,30,562,37.5,12.35,82.89,29.0,12.9,14980000,540000,5390000,310000,600000,150000,180000,110000,7.228,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Austria,0,40,463120000000,48.3,83871,0.0,8884864,Dfb,16,0.868067874,2.174528302,38,326,44.5,9.48,82.07,20.1,12.1,6750000,450000,1130000,5000,20000,5000,10000,10000,7.246,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Azerbaijan,0,31,138510000000,23.5,86600,0.0,10282283,BSk,18,0.779702329,0.595909091,40,49,32.6,14.03,73.88,19.9,10.7,280000,8900000,5000,5000,5000,5000,5000,5000,5.208,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bangladesh,0,50,793490000000,9.6,148460,0.003906776,164098818,Aw,0,0.145753335,0.002075472,21,0,27.9,17.88,74.43,3.6,5.8,450000,134430000,5000,12680000,920000,100000,100000,5000,4.456,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,112,179970000000,40.7,207600,0.0,9441842,Dfb,18,0.798482436,1.020909091,29,103,40.9,9.32,74.01,24.5,12.3,6830000,20000,2740000,5000,5000,5000,5000,5000,5.323,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
