country_iso_code,happiness_index_2017,happiness_index_2018,happiness_index_2019,happiness_prediction_2020,prediction_percent_error,actual_values_2020
4,3.79399991,3.632,3.203,2.5069999099999905,2.3335581693862517,2.566900015
8,4.644000053,4.586,4.719,5.043000052999994,3.283021445434319,4.882699966
11,6.168000221,6.192,6.192,6.168000220999988,0.38598097295836137,6.191899776
12,5.872000217,5.295,5.211,5.620000216999993,12.285478249945623,5.005099773
31,5.234000206,5.201,5.208,5.255000205999995,1.7464381211942954,5.164800167
32,6.598999977,6.388,6.086,5.692999976999988,4.714881052201468,5.974699974
36,7.28399992,7.272,7.228,7.1519999199999775,0.9802273380977861,7.222799778
40,7.006000042,7.139,7.246,7.3270000419999874,0.4496736893943803,7.294199944
48,6.086999893,6.105,6.199,6.368999892999983,2.2754600260139157,6.227300167
50,4.607999802,4.5,4.456,4.475999801999985,7.382886019921858,4.832799911
51,4.375999928,4.321,4.559,5.08999992799999,8.835104643502541,4.676799774
56,6.890999794,6.927,6.923,6.878999793999987,0.22582757679770185,6.863500118
68,5.822999954,5.752,5.779,5.903999953999988,2.7229232283958957,5.747499943
70,5.18200016,5.129,5.386,5.9530001599999895,4.915321228634324,5.674099922
72,3.766000032,3.59,3.488,3.460000031999992,0.5432729954597131,3.478899956
76,6.635000229,6.419,6.3,6.278000228999985,1.5308305748144508,6.375599861
100,4.714000225,4.933,5.011,4.948000224999989,3.0089151813580295,5.101500034
104,4.545000076,4.308,4.36,4.701000075999993,9.1225622091954,4.308000088
108,2.904999971,2.905,3.775,5.514999971,46.08110436306818,3.775300026
112,5.568999767,5.483,5.323,5.088999766999997,8.139137406128306,5.539899826
116,4.168000221,4.433,4.7,4.969000220999991,2.4874206359744138,4.848400116
120,4.695000172,4.975,5.044,4.902000171999995,3.5969189861154764,5.084899902
124,7.315999985,7.328,7.278,7.165999984999979,0.9139810692416187,7.23210001
140,2.693000078,3.083,3.083,2.6930000779999896,22.523659243372624,3.475899935
144,4.440000057,4.471,4.366,4.125000056999985,4.668363240527449,4.327000141
148,3.936000109,4.301,4.35,4.08300010899999,7.680824485726006,4.422699928
152,6.65199995,6.476,6.444,6.555999949999989,5.258088895182908,6.228499889
156,5.272999763,5.246,5.191,5.1079997629999925,0.3103139053358828,5.123899937
158,6.421999931,6.441,6.446,6.436999930999989,0.2850336002186419,6.45539999
170,6.356999874,6.26,6.125,5.951999873999982,3.429929796317606,6.163400173
178,4.290999889,4.559,4.812,5.0499998889999915,2.779915863519736,5.194399834
180,4.28000021,4.245,4.418,4.79900020999999,11.3198876064914,4.31099987
188,7.078999996,7.072,7.167,7.363999995999988,3.4066352279329406,7.121399879
191,5.293000221,5.321,5.432,5.626000220999992,2.203572091947236,5.504700184
196,5.620999813,5.762,6.046,6.472999812999994,5.098228561106944,6.15899992
203,6.609000206,6.711,6.852,7.032000205999985,1.752305603717475,6.910900116
204,3.657000065,4.141,4.883,5.883000064999994,12.787576203411296,5.21600008
208,7.521999836,7.555,7.6,7.656999835999982,0.1491052923978259,7.645599842
214,5.230000019,5.302,5.425,5.599000018999993,1.5854585214960977,5.689199924
218,6.007999897,5.973,6.028,6.172999896999979,4.182135819642849,5.925199986
222,6.002999783,6.167,6.253,6.260999782999988,1.3751744132294736,6.34829998
231,4.460000038,4.35,4.286,4.268000037999994,1.9540369123611383,4.186200142
233,5.611000061,5.739,5.893,6.073000060999991,0.8502444393933933,6.021800041
246,7.468999863,7.632,7.769,7.879999862999981,0.9130812711957379,7.808700085
250,6.441999912,6.489,6.592,6.750999911999984,1.3085649644539608,6.663799763
266,4.465000153,4.758,4.799,4.588000152999986,4.996578751527478,4.829299927
268,4.285999775,4.34,4.519,4.822999774999992,3.218764492895237,4.672599792
275,4.775000095,4.743,4.696,4.63400009499999,1.7835159200381485,4.552800179
276,6.951000214,6.965,6.985,7.01100021399999,0.9157936704142255,7.075799942
288,4.119999886,4.657,4.996,5.136999885999991,0.21367283423491093,5.147999763
300,5.227000237,5.358,5.287,5.014000236999986,9.084308996790355,5.514999866
320,6.453999996,6.382,6.436,6.615999995999982,3.392770052888698,6.398900032
324,3.506999969,3.964,4.534,5.21699996899999,5.408849072972474,4.949299812
332,3.602999926,3.582,3.597,3.6479999259999905,1.956568439759385,3.720799923
340,5.181000233,5.504,5.86,6.249000232999991,4.968762628623198,5.953199863
344,5.472000122,5.43,5.43,5.472000121999987,0.6968586176737632,5.510399818
348,5.323999882,5.62,5.758,5.7379998819999845,4.37304481557573,6.000400066
352,7.504000187,7.495,7.494,7.501000186999984,0.04663501953567833,7.504499912
356,4.315000057,4.19,4.015,3.7900000569999897,6.064427251394538,3.573299885
360,5.262000084,5.093,5.192,5.5590000839999885,5.172542179332253,5.285600185
364,4.691999912,4.707,4.548,4.214999911999987,9.789403437115855,4.672399998
368,4.497000217,4.456,4.437,4.440000216999988,7.2061493099137355,4.784800053
372,6.977000237,6.977,7.021,7.109000236999979,0.215688641282366,7.093699932
376,7.212999821,6.814,7.139,8.187999820999991,14.861258620456589,7.128600121
380,5.964000225,6.0,6.223,6.633000224999994,3.845071065416081,6.38740015
383,5.278999805,5.662,6.1,6.592999804999978,4.2338538002048285,6.325200081
384,4.179999828,4.671,4.944,4.998999827999989,4.477105681746898,5.233300209
388,5.31099987,5.89,5.89,5.31099986999999,9.8271621264636,5.889800072
